
   # PLAYER                       :  RATING  ERROR      POINTS    PLAYED   (%)  CFS(%)        W        D        L  D(%)
 348 weights_run2_703725.pb.gz    :    2398      5     11006.0     22000  50.0      50     7876     6260     7864  28.5
 349 weights_run2_591173.pb.gz    :    2398      4     11017.0     22000  50.1      52     7563     6908     7529  31.4
 350 weights_run2_703768.pb.gz    :    2398      4     10934.5     22000  49.7      54     7663     6543     7794  29.7
 351 weights_run2_703777.pb.gz    :    2397      4     10873.5     22000  49.4      51     7602     6543     7855  29.7
 352 weights_run2_703694.pb.gz    :    2397      4     11938.5     24000  49.7      54     8331     7215     8454  30.1
 353 weights_run3_714349.pb.gz    :    2397      3     13458.0     26000  51.8      53     9641     7634     8725  29.4
 354 weights_run3_714385.pb.gz    :    2397      4     13181.5     26000  50.7      53     9379     7605     9016  29.3
 355 weights_run3_714362.pb.gz    :    2397      4     13300.5     26000  51.2      50     9189     8223     8588  31.6
 356 weights_run3_714406.pb.gz    :    2397      5     11994.5     24000  50.0      50     8380     7229     8391  30.1
 357 weights_run3_714373.pb.gz    :    2397      4     13191.0     26000  50.7      53     9244     7894     8862  30.4
 358 weights_run2_703760.pb.gz    :    2396      4     10858.5     22000  49.4      50     7766     6185     8049  28.1
 359 weights_run2_703638.pb.gz    :    2396      4     11962.5     24000  49.8      51     8529     6867     8604  28.6
 360 weights_run2_703664.pb.gz    :    2396      4     11841.0     24000  49.3      52     8401     6880     8719  28.7
 361 weights_run3_714354.pb.gz    :    2396      4     13397.5     26000  51.5      51     9504     7787     8709  29.9
 362 weights_run2_703748.pb.gz    :    2396      4     10816.5     22000  49.2      52     7713     6207     8080  28.2
 363 weights_run3_714355.pb.gz    :    2396      4     13318.0     26000  51.2      50     9403     7830     8767  30.1
 364 weights_run2_703746.pb.gz    :    2396      4     10829.0     22000  49.2      51     7680     6298     8022  28.6
 365 weights_run3_714359.pb.gz    :    2396      4     13207.5     26000  50.8      56     9291     7833     8876  30.1
 366 weights_run2_703705.pb.gz    :    2395      4     11924.0     24000  49.7      51     8385     7078     8537  29.5
 367 weights_run2_703758.pb.gz    :    2395      4     10828.0     22000  49.2      52     7521     6614     7865  30.1
 368 weights_run3_714368.pb.gz    :    2395      4     13070.0     26000  50.3      53     9323     7494     9183  28.8
 369 weights_run3_714341.pb.gz    :    2395      4     13523.0     26000  52.0      51     9697     7652     8651  29.4
 370 weights_run2_591136.pb.gz    :    2395      4     10956.5     22000  49.8      50     7442     7029     7529  31.9
 371 weights_run2_703733.pb.gz    :    2395      5     10861.5     22000  49.4      50     7605     6513     7882  29.6
 372 weights_run3_714358.pb.gz    :    2395      4     13307.0     26000  51.2      50     9398     7818     8784  30.1
 373 weights_run2_703795.pb.gz    :    2395      5      9811.5     20000  49.1      52     6628     6367     7005  31.8
 374 weights_run2_703674.pb.gz    :    2395      5     11900.5     24000  49.6      51     8464     6873     8663  28.6
 375 weights_run2_703757.pb.gz    :    2395      5     10767.5     22000  48.9      51     7581     6373     8046  29.0
