
   # PLAYER                       :  RATING  ERROR     POINTS    PLAYED   (%)  CFS(%)        W       D        L  D(%)
  62 weights_run3_714652.pb.gz    :    2513     10     2954.0      6000  49.2      51     2824     260     2916   4.3
  63 weights_run3_714566.pb.gz    :    2513     10     2930.0      6000  48.8      50     2838     184     2978   3.1
  64 weights_run3_714695.pb.gz    :    2513     10     2959.5      6000  49.3      50     2857     205     2938   3.4
  65 weights_run3_714488.pb.gz    :    2512     10     3046.0      6000  50.8      51     2936     220     2844   3.7
  66 weights_run3_714633.pb.gz    :    2512     10     2925.5      6000  48.8      52     2793     265     2942   4.4
  67 weights_run3_714564.pb.gz    :    2512     10     2926.0      6000  48.8      53     2808     236     2956   3.9
  68 weights_run3_714630.pb.gz    :    2512     11     2917.0      6000  48.6      51     2788     258     2954   4.3
  69 weights_run3_714632.pb.gz    :    2511     12     2954.5      6000  49.2      52     2823     263     2914   4.4
  70 weights_run3_714577.pb.gz    :    2511     11     2886.5      6000  48.1      51     2774     225     3001   3.8
  71 weights_run3_714490.pb.gz    :    2511     11     2991.5      6000  49.9      51     2873     237     2890   4.0
  72 weights_run3_714491.pb.gz    :    2511     10     2933.0      6000  48.9      52     2825     216     2959   3.6
  73 weights_run3_714676.pb.gz    :    2510     10     2982.5      6000  49.7      50     2872     221     2907   3.7
  74 weights_run3_714452.pb.gz    :    2510     11     3003.0      6000  50.0      50     2877     252     2871   4.2
  75 weights_run3_714548.pb.gz    :    2510     10     2965.0      6000  49.4      52     2837     256     2907   4.3
  76 weights_run3_714658.pb.gz    :    2510      9     2901.5      6000  48.4      51     2737     329     2934   5.5
  77 weights_run3_714567.pb.gz    :    2510     11     2897.5      6000  48.3      50     2808     179     3013   3.0
  78 weights_run3_714563.pb.gz    :    2510     11     2900.5      6000  48.3      50     2781     239     2980   4.0
  79 weights_run3_714696.pb.gz    :    2510     11     2883.5      6000  48.1      50     2782     203     3015   3.4
  80 weights_run3_714628.pb.gz    :    2510     10     2875.0      6000  47.9      50     2775     200     3025   3.3
  81 weights_run3_714659.pb.gz    :    2510     11     2929.5      6000  48.8      50     2751     357     2892   6.0
  82 weights_run3_714523.pb.gz    :    2509     10     2873.0      6000  47.9      50     2738     270     2992   4.5
  83 weights_run3_714511.pb.gz    :    2509     11     2895.0      6000  48.3      50     2785     220     2995   3.7
  84 weights_run3_714450.pb.gz    :    2509     10     3020.0      6000  50.3      51     2869     302     2829   5.0
  85 weights_run3_714521.pb.gz    :    2509     11     2872.0      6000  47.9      51     2745     254     3001   4.2
  86 weights_run3_714684.pb.gz    :    2509     10     2985.0      6000  49.8      50     2897     176     2927   2.9
