Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      weights_run3_714695.pb.gz       :      2000 (    1068,     39,     893),  54.4 :    +26,    5,  100.0
      weights_run3_714488.pb.gz       :      2000 (    1071,     35,     894),  54.4 :    +26,    5,  100.0
      weights_run3_714633.pb.gz       :      2000 (    1022,     43,     935),  52.2 :    +27,    5,  100.0
      weights_run3_714564.pb.gz       :      2000 (    1045,     54,     901),  53.6 :    +27,    5,  100.0
      weights_run3_714630.pb.gz       :      2000 (    1071,     47,     882),  54.7 :    +27,    6,  100.0
      weights_run3_714632.pb.gz       :      2000 (    1056,     43,     901),  53.9 :    +28,    6,  100.0
      weights_run3_714577.pb.gz       :      2000 (    1053,     48,     899),  53.9 :    +28,    5,  100.0
      weights_run3_714490.pb.gz       :      2000 (    1032,     38,     930),  52.5 :    +28,    5,  100.0
      weights_run3_714491.pb.gz       :      2000 (    1014,     64,     922),  52.3 :    +28,    5,  100.0
      weights_run3_714676.pb.gz       :      2000 (    1069,     70,     861),  55.2 :    +29,    5,  100.0
      weights_run3_714452.pb.gz       :      2000 (    1053,     33,     914),  53.5 :    +29,    5,  100.0
      weights_run3_714548.pb.gz       :      2000 (    1078,     45,     877),  55.0 :    +29,    5,  100.0
      weights_run3_714658.pb.gz       :      2000 (    1083,     35,     882),  55.0 :    +29,    5,  100.0
      weights_run3_714567.pb.gz       :      2000 (    1068,     47,     885),  54.6 :    +29,    6,  100.0
      weights_run3_714563.pb.gz       :      2000 (    1082,     53,     865),  55.4 :    +29,    6,  100.0
      weights_run3_714696.pb.gz       :      2000 (    1029,     64,     907),  53.0 :    +29,    5,  100.0
      weights_run3_714628.pb.gz       :      2000 (    1068,     32,     900),  54.2 :    +29,    5,  100.0
      weights_run3_714659.pb.gz       :      2000 (    1044,     37,     919),  53.1 :    +29,    6,  100.0
      weights_run3_714523.pb.gz       :      2000 (    1041,     63,     896),  53.6 :    +29,    5,  100.0
      weights_run3_714511.pb.gz       :      2000 (    1044,     47,     909),  53.4 :    +30,    5,  100.0
      weights_run3_714450.pb.gz       :      2000 (    1058,     40,     902),  53.9 :    +30,    5,  100.0
      weights_run3_714521.pb.gz       :      2000 (    1044,     69,     887),  53.9 :    +30,    6,  100.0
      weights_run3_714684.pb.gz       :      2000 (    1069,     29,     902),  54.2 :    +30,    5,  100.0
      weights_run3_714553.pb.gz       :      2000 (    1023,     57,     920),  52.6 :    +30,    4,  100.0
      weights_run3_714651.pb.gz       :      2000 (    1068,     46,     886),  54.5 :    +30,    5,  100.0
      weights_run3_714589.pb.gz       :      2000 (    1082,     44,     874),  55.2 :    +31,    5,  100.0
      weights_run3_714627.pb.gz       :      2000 (    1070,     36,     894),  54.4 :    +31,    5,  100.0
      weights_run3_714588.pb.gz       :      2000 (    1058,     59,     883),  54.4 :    +31,    6,  100.0
      weights_run3_714459.pb.gz       :      2000 (    1094,     37,     869),  55.6 :    +31,    5,  100.0
      weights_run3_714501.pb.gz       :      2000 (    1045,     30,     925),  53.0 :    +31,    5,  100.0
      weights_run3_714441.pb.gz       :      2000 (    1058,     50,     892),  54.1 :    +32,    5,  100.0
      weights_run3_714497.pb.gz       :      2000 (    1073,     62,     865),  55.2 :    +32,    5,  100.0
