Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)

 133) weights_run3_714462.pb.gz 2501 :   6000 (+2863,=283,-2854),  50.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  809,  79, 1112),  42.4 :    -38,    4,    0.0
      weights_run3_714461.pb.gz       :   2000 ( 1044,  64,  892),  53.8 :    +12,    6,   97.6
      weights_run3_714463.pb.gz       :   2000 ( 1010, 140,  850),  54.0 :    +28,    5,  100.0

 134) weights_run3_714598.pb.gz 2501 :   6000 (+2830,=186,-2984),  48.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  841,  40, 1119),  43.0 :    -38,    5,    0.0
      weights_run3_714599.pb.gz       :   2000 (  965,  70,  965),  50.0 :     +5,    6,   77.9
      weights_run3_714597.pb.gz       :   2000 ( 1024,  76,  900),  53.1 :     +6,    6,   86.4

 135) weights_run3_714453.pb.gz 2501 :   6000 (+2717,=282,-3001),  47.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  873,  56, 1071),  45.0 :    -38,    5,    0.0
      weights_run3_714452.pb.gz       :   2000 (  909, 117,  974),  48.4 :     -9,    6,    6.4
      weights_run3_714454.pb.gz       :   2000 (  935, 109,  956),  49.5 :     -2,    6,   33.9

 136) weights_run3_714505.pb.gz 2501 :   6000 (+2775,=178,-3047),  47.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  887,  28, 1085),  45.0 :    -38,    5,    0.0
      weights_run3_714506.pb.gz       :   2000 (  934,  82,  984),  48.8 :    -16,    5,    0.1
      weights_run3_714504.pb.gz       :   2000 (  954,  68,  978),  49.4 :     +6,    6,   86.2

 137) weights_run3_714395.pb.gz 2501 :   6000 (+2799,=231,-2970),  48.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  886,  45, 1069),  45.4 :    -38,    5,    0.0
      weights_run3_714394.pb.gz       :   2000 (  935,  75,  990),  48.6 :     -5,    6,   17.1
      weights_run3_714396.pb.gz       :   2000 (  978, 111,  911),  51.7 :    +14,    5,   99.5

 138) weights_run3_714534.pb.gz 2501 :   6000 (+2863,=173,-2964),  49.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  874,  30, 1096),  44.5 :    -38,    5,    0.0
      weights_run3_714533.pb.gz       :   2000 (  988,  67,  945),  51.1 :     +9,    5,   94.2
      weights_run3_714535.pb.gz       :   2000 ( 1001,  76,  923),  52.0 :    +12,    6,   97.5

 139) weights_run3_714608.pb.gz 2501 :   6000 (+2814,=205,-2981),  48.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  815,  39, 1146),  41.7 :    -38,    5,    0.0
      weights_run3_714609.pb.gz       :   2000 (  999,  81,  920),  52.0 :     +0,    6,   52.0
      weights_run3_714607.pb.gz       :   2000 ( 1000,  85,  915),  52.1 :     +9,    6,   92.7

 140) weights_run3_714675.pb.gz 2500 :   6000 (+2742,=221,-3037),  47.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  880,  32, 1088),  44.8 :    -39,    5,    0.0
      weights_run3_714676.pb.gz       :   2000 (  922,  84,  994),  48.2 :    -10,    6,    5.4
      weights_run3_714674.pb.gz       :   2000 (  940, 105,  955),  49.6 :     -3,    6,   29.6

 141) weights_run3_714377.pb.gz 2500 :   6000 (+2725,=259,-3016),  47.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  900,  77, 1023),  46.9 :    -39,    5,    0.0
      weights_run3_714378.pb.gz       :   2000 (  857, 110, 1033),  45.6 :    -13,    6,    1.1
      weights_run3_714376.pb.gz       :   2000 (  968,  72,  960),  50.2 :     +0,    6,   50.5

 142) weights_run3_714494.pb.gz 2500 :   6000 (+2771,=263,-2966),  48.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  869,  31, 1100),  44.2 :    -39,    6,    0.0
      weights_run3_714493.pb.gz       :   2000 (  961, 100,  939),  50.5 :     -6,    6,   15.2
      weights_run3_714495.pb.gz       :   2000 (  941, 132,  927),  50.4 :    +10,    6,   95.8

 143) weights_run3_714689.pb.gz 2500 :   6000 (+2823,=162,-3015),  48.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  877,  37, 1086),  44.8 :    -39,    5,    0.0
      weights_run3_714688.pb.gz       :   2000 (  956,  64,  980),  49.4 :     +2,    6,   62.0
      weights_run3_714690.pb.gz       :   2000 (  990,  61,  949),  51.0 :     +3,    6,   70.1

 144) weights_run3_714376.pb.gz 2500 :   6000 (+2830,=200,-2970),  48.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  857,  35, 1108),  43.7 :    -39,    5,    0.0
      weights_run3_714377.pb.gz       :   2000 (  960,  72,  968),  49.8 :     -0,    6,   49.5
      weights_run3_714375.pb.gz       :   2000 ( 1013,  93,  894),  53.0 :    +14,    6,   99.2

 145) weights_run3_714455.pb.gz 2500 :   6000 (+2780,=267,-2953),  48.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  850,  40, 1110),  43.5 :    -39,    6,    0.0
      weights_run3_714454.pb.gz       :   2000 (  972, 128,  900),  51.8 :     -3,    6,   32.0
      weights_run3_714456.pb.gz       :   2000 (  958,  99,  943),  50.4 :    +11,    5,   97.8

 146) weights_run3_714503.pb.gz 2500 :   6000 (+2812,=213,-2975),  48.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  814,  54, 1132),  42.0 :    -39,    6,    0.0
      weights_run3_714502.pb.gz       :   2000 (  995,  88,  917),  52.0 :     +4,    6,   76.2
      weights_run3_714504.pb.gz       :   2000 ( 1003,  71,  926),  51.9 :     +6,    7,   81.0

 147) weights_run3_714614.pb.gz 2500 :   6000 (+2856,=228,-2916),  49.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  860,  52, 1088),  44.3 :    -39,    5,    0.0
      weights_run3_714613.pb.gz       :   2000 (  947,  77,  976),  49.3 :    +12,    6,   98.2
      weights_run3_714615.pb.gz       :   2000 ( 1049,  99,  852),  54.9 :    +16,    7,   99.1

 148) weights_run3_714609.pb.gz 2500 :   6000 (+2826,=193,-2981),  48.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  935,  39, 1026),  47.7 :    -39,    5,    0.0
      weights_run3_714608.pb.gz       :   2000 (  920,  81,  999),  48.0 :     -0,    6,   48.0
      weights_run3_714610.pb.gz       :   2000 (  971,  73,  956),  50.4 :    +12,    5,   98.4

 149) weights_run3_714691.pb.gz 2500 :   6000 (+2799,=159,-3042),  48.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  889,  43, 1068),  45.5 :    -39,    5,    0.0
      weights_run3_714692.pb.gz       :   2000 (  947,  49, 1004),  48.6 :     -7,    6,   13.6
      weights_run3_714690.pb.gz       :   2000 (  963,  67,  970),  49.8 :     +3,    5,   71.5

 150) weights_run3_714680.pb.gz 2500 :   6000 (+2806,=185,-3009),  48.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  872,  26, 1102),  44.3 :    -39,    5,    0.0
      weights_run3_714679.pb.gz       :   2000 (  969,  79,  952),  50.4 :     -2,    6,   39.8
      weights_run3_714681.pb.gz       :   2000 (  965,  80,  955),  50.3 :     +5,    6,   79.5

 151) weights_run3_714618.pb.gz 2500 :   6000 (+2800,=224,-2976),  48.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  846,  44, 1110),  43.4 :    -39,    6,    0.0
      weights_run3_714617.pb.gz       :   2000 (  954, 101,  945),  50.2 :     +1,    6,   55.6
      weights_run3_714619.pb.gz       :   2000 ( 1000,  79,  921),  52.0 :     +7,    6,   87.9

 152) weights_run3_714480.pb.gz 2499 :   6000 (+2804,=178,-3018),  48.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  904,  29, 1067),  45.9 :    -40,    5,    0.0
      weights_run3_714479.pb.gz       :   2000 (  899,  74, 1027),  46.8 :     -5,    5,   15.7
      weights_run3_714481.pb.gz       :   2000 ( 1001,  75,  924),  51.9 :     +7,    5,   91.8

 153) weights_run3_714682.pb.gz 2499 :   6000 (+2808,=186,-3006),  48.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  845,  23, 1132),  42.8 :    -40,    5,    0.0
      weights_run3_714683.pb.gz       :   2000 (  987,  66,  947),  51.0 :     +1,    6,   55.6
      weights_run3_714681.pb.gz       :   2000 (  976,  97,  927),  51.2 :     +4,    6,   75.9

 154) weights_run3_714617.pb.gz 2499 :   6000 (+2733,=221,-3046),  47.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  864,  44, 1092),  44.3 :    -40,    6,    0.0
      weights_run3_714616.pb.gz       :   2000 (  924,  76, 1000),  48.1 :    -14,    6,    1.1
      weights_run3_714618.pb.gz       :   2000 (  945, 101,  954),  49.8 :     -1,    6,   44.4

 155) weights_run3_714496.pb.gz 2499 :   6000 (+2783,=211,-3006),  48.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  842,  43, 1115),  43.2 :    -40,    5,    0.0
      weights_run3_714497.pb.gz       :   2000 (  965,  66,  969),  49.9 :     -8,    5,    5.2
      weights_run3_714495.pb.gz       :   2000 (  976, 102,  922),  51.4 :     +9,    5,   94.8

 156) weights_run3_714631.pb.gz 2499 :   6000 (+2687,=257,-3056),  46.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  881,  74, 1045),  45.9 :    -40,    6,    0.0
      weights_run3_714630.pb.gz       :   2000 (  892,  91, 1017),  46.9 :    -13,    6,    1.7
      weights_run3_714632.pb.gz       :   2000 (  914,  92,  994),  48.0 :    -12,    6,    1.5

 157) weights_run3_714688.pb.gz 2499 :   6000 (+2783,=175,-3042),  47.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  844,  32, 1124),  43.0 :    -40,    5,    0.0
      weights_run3_714687.pb.gz       :   2000 (  959,  79,  962),  49.9 :     -3,    5,   24.6
      weights_run3_714689.pb.gz       :   2000 (  980,  64,  956),  50.6 :     -2,    6,   38.0

 158) weights_run3_714545.pb.gz 2499 :   6000 (+2798,=293,-2909),  49.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  841,  55, 1104),  43.4 :    -40,    6,    0.0
      weights_run3_714546.pb.gz       :   2000 (  973, 105,  922),  51.3 :     +8,    6,   89.9
      weights_run3_714544.pb.gz       :   2000 (  984, 133,  883),  52.5 :    +13,    5,   99.3

 159) weights_run3_714408.pb.gz 2499 :   6000 (+2793,=285,-2922),  48.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  840,  91, 1069),  44.3 :    -40,    5,    0.0
      weights_run3_714407.pb.gz       :   2000 (  954, 101,  945),  50.2 :     +7,    6,   86.9
      weights_run3_714409.pb.gz       :   2000 (  999,  93,  908),  52.3 :    +11,    5,   98.1

 160) weights_run3_714683.pb.gz 2498 :   6000 (+2767,=171,-3062),  47.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  892,  35, 1073),  45.5 :    -41,    5,    0.0
      weights_run3_714684.pb.gz       :   2000 (  928,  70, 1002),  48.1 :    -11,    6,    4.3
      weights_run3_714682.pb.gz       :   2000 (  947,  66,  987),  49.0 :     -1,    6,   44.4

 161) weights_run3_714385.pb.gz 2498 :   6000 (+2738,=222,-3040),  47.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  853,  44, 1103),  43.8 :    -41,    5,    0.0
      weights_run3_714386.pb.gz       :   2000 (  952,  80,  968),  49.6 :     -7,    6,   12.0
      weights_run3_714384.pb.gz       :   2000 (  933,  98,  969),  49.1 :     -5,    6,   18.2

 162) weights_run3_714620.pb.gz 2498 :   6000 (+2750,=256,-2994),  48.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  851,  52, 1097),  43.9 :    -41,    5,    0.0
      weights_run3_714621.pb.gz       :   2000 (  914, 116,  970),  48.6 :     -8,    6,    9.5
      weights_run3_714619.pb.gz       :   2000 (  985,  88,  927),  51.5 :     +5,    6,   79.9

 163) weights_run3_714370.pb.gz 2498 :   6000 (+2893,=237,-2870),  50.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  873,  51, 1076),  44.9 :    -41,    5,    0.0
      weights_run3_714371.pb.gz       :   2000 (  961, 111,  928),  50.8 :    +16,    6,   99.8
      weights_run3_714369.pb.gz       :   2000 ( 1059,  75,  866),  54.8 :    +29,    5,  100.0

 164) weights_run3_714677.pb.gz 2498 :   6000 (+2718,=164,-3118),  46.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  893,  38, 1069),  45.6 :    -41,    5,    0.0
      weights_run3_714678.pb.gz       :   2000 (  909,  59, 1032),  46.9 :    -16,    6,    0.3
      weights_run3_714676.pb.gz       :   2000 (  916,  67, 1017),  47.5 :    -13,    6,    1.6

 165) weights_run3_714602.pb.gz 2498 :   6000 (+2780,=211,-3009),  48.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  869,  27, 1104),  44.1 :    -41,    5,    0.0
      weights_run3_714601.pb.gz       :   2000 (  912, 109,  979),  48.3 :     -4,    6,   27.3
      weights_run3_714603.pb.gz       :   2000 (  999,  75,  926),  51.8 :     +5,    6,   80.3

 166) weights_run3_714547.pb.gz 2497 :   6000 (+2756,=217,-3027),  47.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  884,  35, 1081),  45.1 :    -42,    5,    0.0
      weights_run3_714548.pb.gz       :   2000 (  907,  90, 1003),  47.6 :    -13,    6,    1.1
      weights_run3_714546.pb.gz       :   2000 (  965,  92,  943),  50.5 :     +7,    6,   86.7

 167) weights_run3_714667.pb.gz 2497 :   6000 (+2803,=237,-2960),  48.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  824,  53, 1123),  42.5 :    -42,    5,    0.0
      weights_run3_714668.pb.gz       :   2000 (  998, 100,  902),  52.4 :     +7,    5,   88.8
      weights_run3_714666.pb.gz       :   2000 (  981,  84,  935),  51.1 :     +7,    5,   92.3

 168) weights_run3_714447.pb.gz 2497 :   6000 (+2766,=267,-2967),  48.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  864,  48, 1088),  44.4 :    -42,    6,    0.0
      weights_run3_714448.pb.gz       :   2000 (  948,  93,  959),  49.7 :     -7,    6,   12.4
      weights_run3_714446.pb.gz       :   2000 (  954, 126,  920),  50.9 :    +13,    6,   98.1

 169) weights_run3_714690.pb.gz 2497 :   6000 (+2783,=163,-3054),  47.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  864,  35, 1101),  44.1 :    -42,    5,    0.0
      weights_run3_714689.pb.gz       :   2000 (  949,  61,  990),  49.0 :     -3,    6,   29.9
      weights_run3_714691.pb.gz       :   2000 (  970,  67,  963),  50.2 :     -3,    5,   28.5

 170) weights_run3_714606.pb.gz 2497 :   6000 (+2828,=216,-2956),  48.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  886,  52, 1062),  45.6 :    -42,    5,    0.0
      weights_run3_714607.pb.gz       :   2000 (  949,  83,  968),  49.5 :     +5,    6,   81.4
      weights_run3_714605.pb.gz       :   2000 (  993,  81,  926),  51.7 :    +14,    6,   99.1

 171) weights_run3_714399.pb.gz 2497 :   6000 (+2849,=217,-2934),  49.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  861,  29, 1110),  43.8 :    -42,    5,    0.0
      weights_run3_714398.pb.gz       :   2000 (  963,  72,  965),  50.0 :     +6,    6,   84.9
      weights_run3_714400.pb.gz       :   2000 ( 1025, 116,  859),  54.1 :    +21,    5,  100.0

 172) weights_run3_714592.pb.gz 2497 :   6000 (+2817,=235,-2948),  48.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  842,  52, 1106),  43.4 :    -42,    5,    0.0
      weights_run3_714591.pb.gz       :   2000 (  998,  64,  938),  51.5 :     +4,    5,   79.0
      weights_run3_714593.pb.gz       :   2000 (  977, 119,  904),  51.8 :    +15,    6,   99.1

 173) weights_run3_714639.pb.gz 2497 :   6000 (+2750,=241,-3009),  47.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  885,  48, 1067),  45.5 :    -42,    5,    0.0
      weights_run3_714640.pb.gz       :   2000 (  906, 113,  981),  48.1 :     -6,    6,   15.1
      weights_run3_714638.pb.gz       :   2000 (  959,  80,  961),  50.0 :     +3,    6,   66.3

 174) weights_run3_714661.pb.gz 2497 :   6000 (+2744,=287,-2969),  48.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  861,  33, 1106),  43.9 :    -42,    5,    0.0
      weights_run3_714660.pb.gz       :   2000 (  932, 133,  935),  49.9 :     -8,    6,   10.6
      weights_run3_714662.pb.gz       :   2000 (  951, 121,  928),  50.6 :    +11,    5,   98.1

 175) weights_run3_714599.pb.gz 2496 :   6000 (+2804,=221,-2975),  48.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  816,  54, 1130),  42.1 :    -43,    6,    0.0
      weights_run3_714598.pb.gz       :   2000 (  965,  70,  965),  50.0 :     -5,    6,   22.1
      weights_run3_714600.pb.gz       :   2000 ( 1023,  97,  880),  53.6 :    +17,    6,   99.9

 176) weights_run3_714487.pb.gz 2496 :   6000 (+2776,=238,-2986),  48.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  867,  32, 1101),  44.1 :    -43,    4,    0.0
      weights_run3_714488.pb.gz       :   2000 (  897, 104,  999),  47.5 :    -16,    5,    0.1
      weights_run3_714486.pb.gz       :   2000 ( 1012, 102,  886),  53.1 :    +22,    6,  100.0

 177) weights_run3_714380.pb.gz 2496 :   6000 (+2763,=306,-2931),  48.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  858,  46, 1096),  44.0 :    -43,    5,    0.0
      weights_run3_714379.pb.gz       :   2000 (  959, 110,  931),  50.7 :     +2,    5,   66.7
      weights_run3_714381.pb.gz       :   2000 (  946, 150,  904),  51.0 :    +11,    6,   96.2

 178) weights_run3_714527.pb.gz 2496 :   6000 (+2767,=227,-3006),  48.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  856,  34, 1110),  43.6 :    -43,    5,    0.0
      weights_run3_714526.pb.gz       :   2000 (  951,  80,  969),  49.5 :     -8,    6,    8.1
      weights_run3_714528.pb.gz       :   2000 (  960, 113,  927),  50.8 :     +9,    5,   94.5

 179) weights_run3_714672.pb.gz 2496 :   6000 (+2812,=191,-2997),  48.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  842,  37, 1121),  43.0 :    -43,    5,    0.0
      weights_run3_714671.pb.gz       :   2000 (  951,  85,  964),  49.7 :     +4,    6,   75.2
      weights_run3_714673.pb.gz       :   2000 ( 1019,  69,  912),  52.7 :     +6,    6,   84.5

 180) weights_run3_714502.pb.gz 2496 :   6000 (+2734,=199,-3067),  47.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  859,  27, 1114),  43.6 :    -43,    5,    0.0
      weights_run3_714501.pb.gz       :   2000 (  958,  84,  958),  50.0 :    -11,    6,    1.9
      weights_run3_714503.pb.gz       :   2000 (  917,  88,  995),  48.0 :     -4,    6,   23.8

 181) weights_run3_714537.pb.gz 2496 :   6000 (+2770,=216,-3014),  48.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  871,  36, 1093),  44.5 :    -43,    6,    0.0
      weights_run3_714536.pb.gz       :   2000 (  931,  96,  973),  49.0 :     -5,    6,   20.0
      weights_run3_714538.pb.gz       :   2000 (  968,  84,  948),  50.5 :     +5,    6,   81.0

 182) weights_run3_714388.pb.gz 2496 :   6000 (+2818,=245,-2937),  49.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  852,  38, 1110),  43.5 :    -43,    5,    0.0
      weights_run3_714387.pb.gz       :   2000 (  979, 116,  905),  51.9 :     +8,    5,   93.2
      weights_run3_714389.pb.gz       :   2000 (  987,  91,  922),  51.6 :    +14,    6,   99.5

 183) weights_run3_714645.pb.gz 2495 :   6000 (+2837,=231,-2932),  49.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  872,  33, 1095),  44.4 :    -43,    6,    0.0
      weights_run3_714644.pb.gz       :   2000 (  979,  90,  931),  51.2 :    +10,    6,   94.2
      weights_run3_714646.pb.gz       :   2000 (  986, 108,  906),  52.0 :    +17,    6,   99.7

 184) weights_run3_714681.pb.gz 2495 :   6000 (+2745,=211,-3044),  47.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  863,  34, 1103),  44.0 :    -44,    6,    0.0
      weights_run3_714680.pb.gz       :   2000 (  955,  80,  965),  49.8 :     -5,    6,   20.5
      weights_run3_714682.pb.gz       :   2000 (  927,  97,  976),  48.8 :     -4,    6,   24.1

 185) weights_run3_714626.pb.gz 2495 :   6000 (+2776,=212,-3012),  48.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  884,  39, 1077),  45.2 :    -44,    5,    0.0
      weights_run3_714627.pb.gz       :   2000 (  908,  82, 1010),  47.5 :    -13,    6,    1.4
      weights_run3_714625.pb.gz       :   2000 (  984,  91,  925),  51.5 :    +15,    5,   99.9

 186) weights_run3_714438.pb.gz 2495 :   6000 (+2795,=242,-2963),  48.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  823,  60, 1117),  42.6 :    -44,    5,    0.0
      weights_run3_714439.pb.gz       :   2000 (  996,  88,  916),  52.0 :     +7,    5,   93.0
      weights_run3_714437.pb.gz       :   2000 (  976,  94,  930),  51.1 :     +7,    5,   93.7

 187) weights_run3_714685.pb.gz 2495 :   6000 (+2739,=206,-3055),  47.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  874,  26, 1100),  44.4 :    -44,    5,    0.0
      weights_run3_714684.pb.gz       :   2000 (  930,  77,  993),  48.4 :    -14,    5,    0.4
      weights_run3_714686.pb.gz       :   2000 (  935, 103,  962),  49.3 :     +3,    5,   69.2

 188) weights_run3_714467.pb.gz 2495 :   6000 (+2834,=193,-2973),  48.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  840,  25, 1135),  42.6 :    -44,    5,    0.0
      weights_run3_714468.pb.gz       :   2000 (  986,  92,  922),  51.6 :     +6,    6,   85.3
      weights_run3_714466.pb.gz       :   2000 ( 1008,  76,  916),  52.3 :    +13,    6,   99.2

 189) weights_run3_714597.pb.gz 2495 :   6000 (+2788,=194,-3018),  48.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  929,  36, 1035),  47.4 :    -44,    6,    0.0
      weights_run3_714598.pb.gz       :   2000 (  900,  76, 1024),  46.9 :     -6,    6,   13.6
      weights_run3_714596.pb.gz       :   2000 (  959,  82,  959),  50.0 :    +10,    6,   94.5

 190) weights_run3_714504.pb.gz 2495 :   6000 (+2749,=183,-3068),  47.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  845,  44, 1111),  43.4 :    -44,    6,    0.0
      weights_run3_714505.pb.gz       :   2000 (  978,  68,  954),  50.6 :     -6,    6,   13.8
      weights_run3_714503.pb.gz       :   2000 (  926,  71, 1003),  48.1 :     -6,    7,   19.0

 191) weights_run3_714604.pb.gz 2494 :   6000 (+2820,=181,-2999),  48.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  797,  30, 1173),  40.6 :    -45,    5,    0.0
      weights_run3_714603.pb.gz       :   2000 (  998,  81,  921),  51.9 :     +2,    5,   62.4
      weights_run3_714605.pb.gz       :   2000 ( 1025,  70,  905),  53.0 :    +11,    5,   99.0

 192) weights_run3_714440.pb.gz 2494 :   6000 (+2718,=275,-3007),  47.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  840,  48, 1112),  43.2 :    -45,    5,    0.0
      weights_run3_714441.pb.gz       :   2000 (  919,  87,  994),  48.1 :    -13,    6,    1.0
      weights_run3_714439.pb.gz       :   2000 (  959, 140,  901),  51.5 :     +7,    5,   89.0

